"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"mass";"chi.distance";"inertie"
"defender";0,310305583949042;0,629658023924638;-0,0216212841863311;0,733879321888488;0,305485605559658;0,619877542280075;-0,0212854406568574;0,722479970233574;0,131973887048133;0,411963605853392;0,000426181327634225;0,455636325770843;0,000212594747703389;0,000875352211665774;1,0321345581305e-06;0,00118911169707371;0,00220786924141567;0,45771479486998;0,000462554861947938
"paulo";-1,53232868074684;0,0398809906521537;2,16404748842032;-0,413087766476811;-0,570931793591587;0,0148592960566044;0,806304502098727;-0,153912761921548;0,421583499197826;0,000216497137684448;0,559288562624169;0,0189114410403231;0,00464251865650701;3,14471775271306e-06;0,00925941118856842;0,000337391754062084;0,00197719633559612;1,26461838739288;0,00316205035075233
"imprensa";0,761444973954201;2,29521053484448;0,853979468624629;3,02105905556777;0,192147703416157;0,579187529253378;0,215498426378269;0,762352604939311;0,0542263970998713;0,373524676709079;0,0453681616193879;0,526880764571663;0,00120369413585603;0,0109366459550995;0,00151402816741717;0,0189477447599475;0,00207605615237593;1,75219530850891;0,00637388351503065
"biden";1,37184309661944;-2,85955438546722;-0,301647301777149;0,703800763950419;0,420460158465453;-0,876433094292607;-0,0924527539763392;0,21570993174651;0,222783753809163;0,733857766059917;0,00716466920984333;0,0361938109210793;0,00415510720611422;0,0180538600141964;0,000200896439163386;0,00109363604849377;0,00220786924141567;1,55744259187831;0,0053554681872001
"projeto";-0,819326530331831;-0,0319186691939578;1,31391187300583;-0,27633461321663;-0,520793922324774;-0,0202886740628011;0,835170463300707;-0,175648391408615;0,359462122992308;0,000413589201109223;0,614885418987665;0,0252388688189201;0,0013272839187483;2,01437048002368e-06;0,00341336138540636;0,000150980330445366;0,00197719633559612;0,732284453651747;0,00106025279323806
"importante";0,634607488951098;0,303334615636036;-0,270126863060104;0,3464803628683;0,76522312858678;0,365767293369529;-0,325724683154683;0,417793347674147;0,676716925396409;0,117214446219309;0,0815557948174381;0,124512833566845;0,000782998524910573;0,000178893477016432;0,000141868543025599;0,000233403739186304;0,00194424306333619;0,413381500477573;0,000332240546737241
"próprio";0,0593671662048533;0,925999921589712;0,244138370834793;1,47113787814673;0,0338009772750783;0,527222441414417;0,139001337811655;0,837599319060636;0,00173693862844555;0,32037179560661;0,0195382895295737;0,658352976235373;6,96855023369407e-06;0,00169539811794138;0,00011784790901048;0,0042791405585937;0,00197719633559612;0,76331438345836;0,00115201116719386
"arma";-0,709405793178133;0,319932340031885;-0,632949554940432;0,640887188317042;-0,595955271984652;0,26876770186244;-0,531726168286833;0,538394389075782;0,457148619641861;0,0704895562143266;0,242063199924232;0,230298624219581;0,00041459877693493;8,43247068792242e-05;0,000330047732072836;0,00033837770064335;0,000823831806498385;0,562231777170669;0,000260416999983926
"liberdade";1,26292360055444;2,49024828333413;0,355218943971568;3,72497431256602;0,270501380308553;0,533377947531554;0,0760831570602307;0,797839784386528;0,106723875758704;0,314581565372004;0,00561593780116969;0,573078621068125;0,00304846138563793;0,0118525511676537;0,000241167497959006;0,0265199746423927;0,00191128979107625;2,07155108997092;0,00820196359536224
"sociedade";0,721488844846592;1,36128651196787;-0,188927092755683;-0,695860641585305;0,424143855201523;0,800263667753107;-0,111065148194286;-0,409077724919991;0,231554060361006;0,624932026912161;0,0105609810595698;0,132952931667265;0,001063529344914;0,00378607592418342;7,29253830943484e-05;0,000989315429231721;0,002043102880116;0,803438768725449;0,00131885121649134
