texto;1;4;0;4;1
terminar;3;4;1;2;4
teoria;0;2;1;9;3
tecnologia;0;1;1;4;1
surgir;0;1;8;3;2
silva;11;0;0;0;0
ruim;8;4;0;2;1
rio;1;2;4;0;1
resolver;7;2;1;3;2
recuperação;0;10;0;1;4
recuperar;4;4;1;3;4
preferir;2;2;2;5;3
perspectiva;0;3;2;6;2
parlamentar;1;0;2;3;5
pagar;5;8;0;0;3
olhar;0;0;2;9;1
medo;3;0;2;4;7
manifestação;4;1;3;3;3
maia;2;3;0;4;1
legal;4;6;1;3;1
lançar;2;3;0;3;6
jogo;2;0;0;10;3
imaginar;2;0;0;11;1
ideologia;0;1;6;8;1
frança;0;1;0;4;9
enorme;1;5;0;3;5
eletrobras;8;6;0;0;0
definir;1;0;1;6;5
decidir;0;4;1;6;2
curto;1;10;1;2;1
cultura;0;0;3;9;3
citar;4;4;3;0;1
chinês;0;0;0;1;3
chefe;1;0;1;3;11
buscar;3;2;3;2;2
bolsa;9;5;1;1;0
antigo;1;0;0;8;5
ameaçar;7;1;2;0;4
amazônia;0;0;0;2;13
agir;2;3;1;7;0
administração;9;0;3;3;1
aceitar;2;2;5;2;4
via;5;1;5;1;3
velho;1;1;3;6;1
torno;0;2;3;5;5
the;1;1;0;6;3
teto;0;11;0;0;0
superar;3;1;0;6;2
relevante;2;1;1;6;0
reforçar;0;1;7;0;4
reeleição;6;1;2;4;0
provocar;0;6;3;0;5
promover;2;7;1;2;1
profundo;0;2;0;12;0
produção;0;3;0;1;1
preparar;3;4;2;0;2
pobre;1;5;5;3;0
orçamento;1;13;0;0;0
organizar;1;1;2;9;2
norma;3;2;6;0;0
negativo;6;5;1;2;0
navalni;2;1;1;0;3
mão;4;0;3;7;1
máquina;1;2;1;2;1
marcar;0;2;3;7;2
lógica;5;3;1;6;0
literatura;0;0;1;13;0
listar;0;3;0;0;9
isolamento;0;3;3;7;1
investigação;0;0;1;1;3
insumo;1;3;0;0;0
iniciativa;4;9;2;0;0
importância;0;1;6;3;4
impeachment;2;1;2;1;8
gás;3;9;1;1;1
gostar;1;3;1;7;3
frio;0;2;0;5;6
fortalecer;2;2;1;6;3
erro;4;1;1;4;4
dose;3;5;0;0;0
disputa;2;1;0;2;9
crítico;2;0;3;8;1
conversa;3;1;0;5;3
contexto;1;4;3;6;0
conspiração;0;0;1;9;2
conflito;0;0;3;8;4
comum;1;0;5;6;0
compromisso;1;6;6;0;1
começo;1;3;2;6;3
cena;0;2;3;7;2
capitólio;0;1;1;0;13
